gta_property_id,car_id,match_status,match_rule
GTA_RO_0070,CAR_RO_0070,matched,R1_tax_property_municipality
GTA_RO_0071,,unmatched_or_ambiguous,
GTA_RO_0072,CAR_RO_0072,matched,R1_tax_property_municipality
GTA_MT_0001,CAR_MT_0001,matched,R1_tax_property_municipality
GTA_MT_0002,CAR_MT_0002,matched,R1_tax_property_municipality
GTA_MT_0003,CAR_MT_0003,matched,R1_tax_property_municipality
GTA_MT_0004,CAR_MT_0004,matched,R1_tax_property_municipality
GTA_MT_0005,CAR_MT_0005,matched,R1_tax_property_municipality
GTA_MT_0006,CAR_MT_0006,matched,R1_tax_property_municipality
GTA_MT_0007,,unmatched_or_ambiguous,
GTA_MT_0008,CAR_MT_0008,matched,R1_tax_property_municipality
GTA_MT_0009,CAR_MT_0009,matched,R1_tax_property_municipality
GTA_MT_0010,CAR_MT_0010,matched,R1_tax_property_municipality
GTA_MT_0011,CAR_MT_0011,matched,R1_tax_property_municipality
GTA_MT_0012,CAR_MT_0012,matched,R1_tax_property_municipality
GTA_MT_0013,CAR_MT_0013,matched,R1_tax_property_municipality
GTA_MT_0014,,unmatched_or_ambiguous,
GTA_MT_0015,CAR_MT_0015,matched,R1_tax_property_municipality
GTA_MT_0016,CAR_MT_0016,matched,R1_tax_property_municipality
GTA_MT_0017,,unmatched_or_ambiguous,
GTA_MT_0018,CAR_MT_0018,matched,R1_tax_property_municipality
GTA_MT_0019,CAR_MT_0019,matched,R1_tax_property_municipality
GTA_MT_0020,CAR_MT_0020,matched,R1_tax_property_municipality
GTA_MT_0021,CAR_MT_0021,matched,R1_tax_property_municipality
GTA_MT_0022,CAR_MT_0022,matched,R1_tax_property_municipality
GTA_MT_0023,CAR_MT_0023,matched,R1_tax_property_municipality
GTA_MT_0024,,unmatched_or_ambiguous,
GTA_MT_0025,CAR_MT_0025,matched,R1_tax_property_municipality
GTA_MT_0026,CAR_MT_0026,matched,R1_tax_property_municipality
GTA_MT_0027,CAR_MT_0027,matched,R1_tax_property_municipality
GTA_MT_0028,,unmatched_or_ambiguous,
GTA_MT_0029,CAR_MT_0029,matched,R1_tax_property_municipality
GTA_MT_0030,CAR_MT_0030,matched,R1_tax_property_municipality
GTA_MT_0031,,unmatched_or_ambiguous,
GTA_MT_0032,,unmatched_or_ambiguous,
GTA_MT_0033,CAR_MT_0033,matched,R1_tax_property_municipality
GTA_MT_0034,CAR_MT_0034,matched,R1_tax_property_municipality
GTA_MT_0035,CAR_MT_0035,matched,R1_tax_property_municipality
GTA_MT_0036,CAR_MT_0036,matched,R1_tax_property_municipality
GTA_MT_0037,,unmatched_or_ambiguous,
GTA_MT_0038,,unmatched_or_ambiguous,
GTA_MT_0039,CAR_MT_0039,matched,R1_tax_property_municipality
GTA_MT_0040,CAR_MT_0040,matched,R1_tax_property_municipality
GTA_MT_0041,,unmatched_or_ambiguous,
GTA_MT_0042,,unmatched_or_ambiguous,
GTA_MT_0043,,unmatched_or_ambiguous,
GTA_MT_0044,CAR_MT_0044,matched,R1_tax_property_municipality
GTA_MT_0045,CAR_MT_0045,matched,R1_tax_property_municipality
GTA_MT_0046,CAR_MT_0046,matched,R1_tax_property_municipality
GTA_MT_0047,CAR_MT_0047,matched,R1_tax_property_municipality
GTA_MT_0048,,unmatched_or_ambiguous,
GTA_MT_0049,CAR_MT_0049,matched,R1_tax_property_municipality
GTA_MT_0050,CAR_MT_0050,matched,R1_tax_property_municipality
GTA_MT_0051,CAR_MT_0051,matched,R1_tax_property_municipality
GTA_MT_0052,,unmatched_or_ambiguous,
GTA_MT_0053,CAR_MT_0053,matched,R1_tax_property_municipality
GTA_MT_0054,CAR_MT_0054,matched,R1_tax_property_municipality
GTA_MT_0055,CAR_MT_0055,matched,R1_tax_property_municipality
GTA_MT_0056,CAR_MT_0056,matched,R1_tax_property_municipality
GTA_MT_0057,CAR_MT_0057,matched,R1_tax_property_municipality
GTA_MT_0058,CAR_MT_0058,matched,R1_tax_property_municipality
GTA_MT_0059,CAR_MT_0059,matched,R1_tax_property_municipality
GTA_MT_0060,CAR_MT_0060,matched,R1_tax_property_municipality
GTA_MT_0061,CAR_MT_0061,matched,R1_tax_property_municipality
GTA_MT_0062,CAR_MT_0062,matched,R1_tax_property_municipality
GTA_MT_0063,,unmatched_or_ambiguous,
GTA_MT_0064,CAR_MT_0064,matched,R1_tax_property_municipality
GTA_MT_0065,CAR_MT_0065,matched,R1_tax_property_municipality
GTA_MT_0066,CAR_MT_0066,matched,R1_tax_property_municipality
GTA_MT_0067,CAR_MT_0067,matched,R1_tax_property_municipality
GTA_MT_0068,CAR_MT_0068,matched,R1_tax_property_municipality
GTA_MT_0069,CAR_MT_0069,matched,R1_tax_property_municipality
GTA_MT_0070,,unmatched_or_ambiguous,
GTA_MT_0071,CAR_MT_0071,matched,R1_tax_property_municipality
GTA_MT_0072,CAR_MT_0072,matched,R1_tax_property_municipality
GTA_PA_0001,CAR_PA_0001,matched,R1_tax_property_municipality
GTA_PA_0002,CAR_PA_0002,matched,R1_tax_property_municipality
GTA_PA_0003,CAR_PA_0003,matched,R1_tax_property_municipality
GTA_PA_0004,CAR_PA_0004,matched,R1_tax_property_municipality
GTA_PA_0005,,unmatched_or_ambiguous,
GTA_PA_0006,,unmatched_or_ambiguous,
GTA_PA_0007,CAR_PA_0007,matched,R1_tax_property_municipality
GTA_PA_0008,CAR_PA_0008,matched,R1_tax_property_municipality
GTA_PA_0009,CAR_PA_0009,matched,R1_tax_property_municipality
GTA_PA_0010,CAR_PA_0010,matched,R1_tax_property_municipality
GTA_PA_0011,CAR_PA_0011,matched,R1_tax_property_municipality
GTA_PA_0012,CAR_PA_0012,matched,R1_tax_property_municipality
GTA_PA_0013,,unmatched_or_ambiguous,
GTA_PA_0014,,unmatched_or_ambiguous,
GTA_PA_0015,CAR_PA_0015,matched,R1_tax_property_municipality
GTA_PA_0016,CAR_PA_0016,matched,R1_tax_property_municipality
GTA_PA_0017,CAR_PA_0017,matched,R1_tax_property_municipality
GTA_PA_0018,,unmatched_or_ambiguous,
GTA_PA_0019,,unmatched_or_ambiguous,
GTA_PA_0020,CAR_PA_0020,matched,R1_tax_property_municipality
GTA_PA_0021,,unmatched_or_ambiguous,
GTA_PA_0022,CAR_PA_0022,matched,R1_tax_property_municipality
GTA_PA_0023,CAR_PA_0023,matched,R1_tax_property_municipality
GTA_PA_0024,CAR_PA_0024,matched,R1_tax_property_municipality
GTA_PA_0025,CAR_PA_0025,matched,R1_tax_property_municipality
GTA_PA_0026,CAR_PA_0026,matched,R1_tax_property_municipality
GTA_PA_0027,CAR_PA_0027,matched,R1_tax_property_municipality
GTA_PA_0028,CAR_PA_0028,matched,R1_tax_property_municipality
GTA_PA_0029,,unmatched_or_ambiguous,
GTA_PA_0030,CAR_PA_0030,matched,R1_tax_property_municipality
GTA_PA_0031,CAR_PA_0031,matched,R1_tax_property_municipality
GTA_PA_0032,CAR_PA_0032,matched,R1_tax_property_municipality
GTA_PA_0033,CAR_PA_0033,matched,R1_tax_property_municipality
GTA_PA_0034,CAR_PA_0034,matched,R1_tax_property_municipality
GTA_PA_0035,CAR_PA_0035,matched,R1_tax_property_municipality
GTA_PA_0036,CAR_PA_0036,matched,R1_tax_property_municipality
GTA_PA_0037,CAR_PA_0037,matched,R1_tax_property_municipality
GTA_PA_0038,CAR_PA_0038,matched,R1_tax_property_municipality
GTA_PA_0039,CAR_PA_0039,matched,R1_tax_property_municipality
GTA_PA_0040,CAR_PA_0040,matched,R1_tax_property_municipality
GTA_PA_0041,CAR_PA_0041,matched,R1_tax_property_municipality
GTA_PA_0042,CAR_PA_0042,matched,R1_tax_property_municipality
GTA_PA_0043,CAR_PA_0043,matched,R1_tax_property_municipality
GTA_PA_0044,,unmatched_or_ambiguous,
GTA_PA_0045,CAR_PA_0045,matched,R1_tax_property_municipality
GTA_PA_0046,CAR_PA_0046,matched,R1_tax_property_municipality
GTA_PA_0047,CAR_PA_0047,matched,R1_tax_property_municipality
GTA_PA_0048,CAR_PA_0048,matched,R1_tax_property_municipality
GTA_PA_0049,CAR_PA_0049,matched,R1_tax_property_municipality
GTA_PA_0050,CAR_PA_0050,matched,R1_tax_property_municipality
GTA_PA_0051,CAR_PA_0051,matched,R1_tax_property_municipality
GTA_PA_0052,CAR_PA_0052,matched,R1_tax_property_municipality
GTA_PA_0053,,unmatched_or_ambiguous,
GTA_PA_0054,,unmatched_or_ambiguous,
GTA_PA_0055,CAR_PA_0055,matched,R1_tax_property_municipality
GTA_PA_0056,,unmatched_or_ambiguous,
GTA_PA_0057,CAR_PA_0057,matched,R1_tax_property_municipality
GTA_PA_0058,CAR_PA_0058,matched,R1_tax_property_municipality
GTA_PA_0059,CAR_PA_0059,matched,R1_tax_property_municipality
GTA_PA_0060,,unmatched_or_ambiguous,
GTA_PA_0061,CAR_PA_0061,matched,R1_tax_property_municipality
GTA_PA_0062,CAR_PA_0062,matched,R1_tax_property_municipality
GTA_PA_0063,CAR_PA_0063,matched,R1_tax_property_municipality
GTA_PA_0064,CAR_PA_0064,matched,R1_tax_property_municipality
GTA_PA_0065,CAR_PA_0065,matched,R1_tax_property_municipality
GTA_PA_0066,CAR_PA_0066,matched,R1_tax_property_municipality
GTA_PA_0067,CAR_PA_0067,matched,R1_tax_property_municipality
GTA_PA_0068,CAR_PA_0068,matched,R1_tax_property_municipality
GTA_PA_0069,,unmatched_or_ambiguous,
GTA_PA_0070,CAR_PA_0070,matched,R1_tax_property_municipality
GTA_PA_0071,CAR_PA_0071,matched,R1_tax_property_municipality
GTA_PA_0072,CAR_PA_0072,matched,R1_tax_property_municipality
