transaction_id,year,origin_gta_property_id,destination_type,destination_id,purpose,heads
TX00000027,2013,GTA_RO_0012,slaughterhouse,SH_RO_04,slaughter,243
TX00000028,2013,GTA_RO_0012,property,GTA_RO_0016,other,103
TX00000029,2013,GTA_RO_0012,property,GTA_RO_0016,other,9
TX00000030,2013,GTA_RO_0013,property,GTA_RO_0017,fattening,103
TX00000031,2013,GTA_RO_0014,slaughterhouse,SH_RO_02,slaughter,172
TX00000032,2013,GTA_RO_0014,property,GTA_RO_0022,breeding,60
TX00000033,2013,GTA_RO_0015,slaughterhouse,SH_RO_04,slaughter,254
TX00000034,2013,GTA_RO_0015,slaughterhouse,SH_RO_03,slaughter,43
TX00000035,2013,GTA_RO_0015,property,GTA_RO_0019,other,23
TX00000036,2013,GTA_RO_0016,slaughterhouse,SH_RO_04,slaughter,158
TX00000037,2013,GTA_RO_0016,property,GTA_RO_0020,fattening,118
TX00000038,2013,GTA_RO_0017,slaughterhouse,SH_RO_02,slaughter,141
TX00000039,2013,GTA_RO_0017,slaughterhouse,SH_RO_03,slaughter,57
TX00000040,2013,GTA_RO_0017,property,GTA_RO_0021,breeding,97
TX00000041,2013,GTA_RO_0018,property,GTA_RO_0022,other,104
TX00000042,2013,GTA_RO_0019,slaughterhouse,SH_RO_03,slaughter,200
TX00000043,2013,GTA_RO_0019,slaughterhouse,SH_RO_04,slaughter,23
TX00000044,2013,GTA_RO_0019,property,GTA_RO_0027,fattening,56
TX00000045,2013,GTA_RO_0020,slaughterhouse,SH_RO_04,slaughter,231
TX00000046,2013,GTA_RO_0020,property,GTA_RO_0024,breeding,119
TX00000047,2013,GTA_RO_0021,slaughterhouse,SH_RO_01,slaughter,206
TX00000048,2013,GTA_RO_0021,slaughterhouse,SH_RO_02,slaughter,57
TX00000049,2013,GTA_RO_0021,property,GTA_RO_0025,other,25
TX00000050,2013,GTA_RO_0022,slaughterhouse,SH_RO_02,slaughter,241
TX00000051,2013,GTA_RO_0022,property,GTA_RO_0026,fattening,112
TX00000052,2013,GTA_RO_0023,property,GTA_RO_0027,breeding,101
TX00000053,2013,GTA_RO_0023,property,GTA_RO_0027,other,1
TX00000054,2013,GTA_RO_0024,slaughterhouse,SH_RO_03,slaughter,179
TX00000055,2013,GTA_RO_0024,property,GTA_RO_0032,other,54
TX00000056,2013,GTA_RO_0025,slaughterhouse,SH_RO_01,slaughter,164
TX00000057,2013,GTA_RO_0025,slaughterhouse,SH_RO_02,slaughter,16
TX00000058,2013,GTA_RO_0025,property,GTA_RO_0029,fattening,117
TX00000059,2013,GTA_RO_0026,slaughterhouse,SH_RO_02,slaughter,243
TX00000060,2013,GTA_RO_0026,property,GTA_RO_0030,breeding,25
TX00000061,2013,GTA_RO_0027,slaughterhouse,SH_RO_03,slaughter,225
TX00000062,2013,GTA_RO_0027,slaughterhouse,SH_RO_04,slaughter,29
TX00000063,2013,GTA_RO_0027,property,GTA_RO_0031,other,121
TX00000064,2013,GTA_RO_0028,property,GTA_RO_0032,fattening,69
TX00000065,2013,GTA_RO_0029,slaughterhouse,SH_RO_01,slaughter,236
TX00000066,2013,GTA_RO_0029,slaughterhouse,SH_RO_02,slaughter,21
TX00000067,2013,GTA_RO_0029,property,GTA_RO_0037,breeding,102
TX00000068,2013,GTA_RO_0030,slaughterhouse,SH_RO_02,slaughter,228
TX00000069,2013,GTA_RO_0030,property,GTA_RO_0034,other,69
TX00000070,2013,GTA_RO_0031,slaughterhouse,SH_RO_03,slaughter,248
TX00000071,2013,GTA_RO_0031,slaughterhouse,SH_RO_04,slaughter,42
TX00000072,2013,GTA_RO_0031,property,GTA_RO_0035,fattening,103
TX00000073,2013,GTA_RO_0032,slaughterhouse,SH_RO_03,slaughter,146
TX00000074,2013,GTA_RO_0032,property,GTA_RO_0036,breeding,35
TX00000075,2013,GTA_RO_0033,property,GTA_RO_0037,other,47
TX00000076,2013,GTA_RO_0034,slaughterhouse,SH_RO_04,slaughter,212
TX00000077,2013,GTA_RO_0034,property,GTA_RO_0042,fattening,82
TX00000078,2013,GTA_RO_0034,property,GTA_RO_0042,other,12
TX00000079,2013,GTA_RO_0035,slaughterhouse,SH_RO_03,slaughter,179
TX00000080,2013,GTA_RO_0035,slaughterhouse,SH_RO_04,slaughter,40
TX00000081,2013,GTA_RO_0035,property,GTA_RO_0039,breeding,39
TX00000082,2013,GTA_RO_0036,slaughterhouse,SH_RO_04,slaughter,193
TX00000083,2013,GTA_RO_0036,property,GTA_RO_0040,other,121
TX00000084,2013,GTA_RO_0037,slaughterhouse,SH_RO_01,slaughter,228
TX00000085,2013,GTA_RO_0037,slaughterhouse,SH_RO_02,slaughter,21
TX00000086,2013,GTA_RO_0037,property,GTA_RO_0041,fattening,42
TX00000087,2013,GTA_RO_0038,property,GTA_RO_0042,breeding,32
TX00000088,2013,GTA_RO_0039,slaughterhouse,SH_RO_03,slaughter,192
TX00000089,2013,GTA_RO_0039,slaughterhouse,SH_RO_04,slaughter,57
TX00000090,2013,GTA_RO_0039,property,GTA_RO_0047,other,109
TX00000091,2013,GTA_RO_0040,slaughterhouse,SH_RO_04,slaughter,243
TX00000092,2013,GTA_RO_0040,property,GTA_RO_0044,fattening,34
TX00000093,2013,GTA_RO_0041,slaughterhouse,SH_RO_01,slaughter,147
TX00000094,2013,GTA_RO_0041,slaughterhouse,SH_RO_02,slaughter,28
TX00000095,2013,GTA_RO_0041,property,GTA_RO_0045,breeding,64
TX00000096,2013,GTA_RO_0042,slaughterhouse,SH_RO_02,slaughter,234
TX00000097,2013,GTA_RO_0042,property,GTA_RO_0046,other,121
TX00000098,2013,GTA_RO_0043,property,GTA_RO_0047,fattening,49
TX00000099,2013,GTA_RO_0044,slaughterhouse,SH_RO_03,slaughter,251
TX00000100,2013,GTA_RO_0044,property,GTA_RO_0052,breeding,75
TX00000101,2013,GTA_RO_0045,slaughterhouse,SH_RO_02,slaughter,212
TX00000102,2013,GTA_RO_0045,slaughterhouse,SH_RO_01,slaughter,28
TX00000103,2013,GTA_RO_0045,property,GTA_RO_0049,other,91
TX00000104,2013,GTA_RO_0045,property,GTA_RO_0049,other,1
TX00000105,2013,GTA_RO_0046,slaughterhouse,SH_RO_01,slaughter,161
TX00000106,2013,GTA_RO_0046,property,GTA_RO_0050,fattening,63
TX00000107,2013,GTA_RO_0047,slaughterhouse,SH_RO_02,slaughter,150
TX00000108,2013,GTA_RO_0047,slaughterhouse,SH_RO_01,slaughter,21
TX00000109,2013,GTA_RO_0047,property,GTA_RO_0051,breeding,67
TX00000110,2013,GTA_RO_0048,property,GTA_RO_0052,other,116
TX00000111,2013,GTA_RO_0049,slaughterhouse,SH_RO_02,slaughter,64
TX00000112,2013,GTA_RO_0049,slaughterhouse,SH_RO_01,slaughter,29
TX00000113,2013,GTA_RO_0049,property,GTA_RO_0057,fattening,22
TX00000114,2013,GTA_RO_0050,slaughterhouse,SH_RO_02,slaughter,183
TX00000115,2013,GTA_RO_0050,property,GTA_RO_0054,breeding,23
TX00000116,2013,GTA_RO_0051,slaughterhouse,SH_RO_03,slaughter,196
TX00000117,2013,GTA_RO_0051,slaughterhouse,SH_RO_04,slaughter,40
TX00000118,2013,GTA_RO_0051,property,GTA_RO_0055,other,71
TX00000119,2013,GTA_RO_0052,slaughterhouse,SH_RO_04,slaughter,249
TX00000120,2013,GTA_RO_0052,property,GTA_RO_0056,fattening,120
TX00000121,2013,GTA_RO_0053,property,GTA_RO_0057,breeding,90
TX00000122,2013,GTA_RO_0054,slaughterhouse,SH_RO_02,slaughter,271
TX00000123,2013,GTA_RO_0054,property,GTA_RO_0062,other,110
TX00000124,2013,GTA_RO_0055,slaughterhouse,SH_RO_03,slaughter,273
TX00000125,2013,GTA_RO_0055,slaughterhouse,SH_RO_04,slaughter,18
TX00000126,2013,GTA_RO_0055,property,GTA_RO_0059,fattening,95
TX00000127,2013,GTA_RO_0056,slaughterhouse,SH_RO_04,slaughter,134
TX00000128,2013,GTA_RO_0056,property,GTA_RO_0060,breeding,62
TX00000129,2013,GTA_RO_0056,property,GTA_RO_0060,other,6
TX00000130,2013,GTA_RO_0057,slaughterhouse,SH_RO_02,slaughter,244
TX00000131,2013,GTA_RO_0057,slaughterhouse,SH_RO_01,slaughter,25
TX00000132,2013,GTA_RO_0057,property,GTA_RO_0061,other,60
TX00000133,2013,GTA_RO_0058,property,GTA_RO_0062,fattening,62
TX00000134,2013,GTA_RO_0059,slaughterhouse,SH_RO_04,slaughter,169
TX00000135,2013,GTA_RO_0059,slaughterhouse,SH_RO_03,slaughter,20
TX00000136,2013,GTA_RO_0059,property,GTA_RO_0067,breeding,116
TX00000137,2013,GTA_RO_0060,slaughterhouse,SH_RO_03,slaughter,179
TX00000138,2013,GTA_RO_0060,property,GTA_RO_0064,other,108
TX00000139,2013,GTA_RO_0061,slaughterhouse,SH_RO_01,slaughter,208
TX00000140,2013,GTA_RO_0061,slaughterhouse,SH_RO_02,slaughter,26
TX00000141,2013,GTA_RO_0061,property,GTA_RO_0065,fattening,36
TX00000142,2013,GTA_RO_0062,slaughterhouse,SH_RO_02,slaughter,178
TX00000143,2013,GTA_RO_0062,property,GTA_RO_0066,breeding,88
TX00000144,2013,GTA_RO_0063,property,GTA_RO_0067,other,75
TX00000145,2013,GTA_RO_0064,slaughterhouse,SH_RO_04,slaughter,154
TX00000146,2013,GTA_RO_0064,property,GTA_RO_0072,fattening,33
TX00000147,2013,GTA_RO_0065,slaughterhouse,SH_RO_02,slaughter,193
TX00000148,2013,GTA_RO_0065,slaughterhouse,SH_RO_01,slaughter,35
TX00000149,2013,GTA_RO_0065,property,GTA_RO_0069,breeding,108
TX00000150,2013,GTA_RO_0066,slaughterhouse,SH_RO_02,slaughter,240
TX00000151,2013,GTA_RO_0066,property,GTA_RO_0070,other,57
TX00000152,2013,GTA_RO_0067,slaughterhouse,SH_RO_04,slaughter,197
TX00000153,2013,GTA_RO_0067,slaughterhouse,SH_RO_03,slaughter,34
TX00000154,2013,GTA_RO_0067,property,GTA_RO_0071,fattening,67
TX00000155,2013,GTA_RO_0067,property,GTA_RO_0071,other,5
TX00000156,2013,GTA_RO_0068,property,GTA_RO_0072,breeding,24
TX00000157,2013,GTA_RO_0069,slaughterhouse,SH_RO_01,slaughter,211
TX00000158,2013,GTA_RO_0069,slaughterhouse,SH_RO_02,slaughter,39
TX00000159,2013,GTA_RO_0069,property,GTA_RO_0001,other,42
TX00000160,2013,GTA_RO_0070,slaughterhouse,SH_RO_02,slaughter,149
TX00000161,2013,GTA_RO_0070,property,GTA_RO_0002,fattening,45
TX00000162,2013,GTA_RO_0071,slaughterhouse,SH_RO_04,slaughter,200
TX00000163,2013,GTA_RO_0071,slaughterhouse,SH_RO_03,slaughter,50
TX00000164,2013,GTA_RO_0071,property,GTA_RO_0007,breeding,105
TX00000165,2013,GTA_RO_0072,slaughterhouse,SH_RO_04,slaughter,203
TX00000166,2013,GTA_RO_0072,property,GTA_RO_0004,other,56
TX00000167,2013,GTA_MT_0001,slaughterhouse,SH_MT_01,slaughter,243
TX00000168,2013,GTA_MT_0001,slaughterhouse,SH_MT_02,slaughter,51
TX00000169,2013,GTA_MT_0001,property,GTA_MT_0005,fattening,22
TX00000170,2013,GTA_MT_0001,property,GTA_MT_0005,other,14
TX00000171,2013,GTA_MT_0002,slaughterhouse,SH_MT_02,slaughter,216
TX00000172,2013,GTA_MT_0002,property,GTA_MT_0006,breeding,73
TX00000173,2013,GTA_MT_0003,property,GTA_MT_0007,other,70
TX00000174,2013,GTA_MT_0004,slaughterhouse,SH_MT_03,slaughter,251
TX00000175,2013,GTA_MT_0004,property,GTA_MT_0012,fattening,85
TX00000176,2013,GTA_MT_0005,slaughterhouse,SH_MT_01,slaughter,181
TX00000177,2013,GTA_MT_0005,slaughterhouse,SH_MT_02,slaughter,20
TX00000178,2013,GTA_MT_0005,property,GTA_MT_0009,breeding,53
TX00000179,2013,GTA_MT_0006,slaughterhouse,SH_MT_02,slaughter,223
TX00000180,2013,GTA_MT_0006,property,GTA_MT_0010,other,57
TX00000181,2013,GTA_MT_0007,slaughterhouse,SH_MT_03,slaughter,200
TX00000182,2013,GTA_MT_0007,slaughterhouse,SH_MT_04,slaughter,52
TX00000183,2013,GTA_MT_0007,property,GTA_MT_0011,fattening,40
TX00000184,2013,GTA_MT_0008,property,GTA_MT_0012,breeding,89
TX00000185,2013,GTA_MT_0009,slaughterhouse,SH_MT_01,slaughter,157
TX00000186,2013,GTA_MT_0009,slaughterhouse,SH_MT_02,slaughter,44
TX00000187,2013,GTA_MT_0009,property,GTA_MT_0017,other,27
TX00000188,2013,GTA_MT_0010,slaughterhouse,SH_MT_02,slaughter,148
TX00000189,2013,GTA_MT_0010,property,GTA_MT_0014,fattening,79
TX00000190,2013,GTA_MT_0011,slaughterhouse,SH_MT_03,slaughter,144
TX00000191,2013,GTA_MT_0011,slaughterhouse,SH_MT_04,slaughter,57
TX00000192,2013,GTA_MT_0011,property,GTA_MT_0015,breeding,115
TX00000193,2013,GTA_MT_0012,slaughterhouse,SH_MT_04,slaughter,153
TX00000194,2013,GTA_MT_0012,property,GTA_MT_0016,other,95
TX00000195,2013,GTA_MT_0012,property,GTA_MT_0016,other,12
TX00000196,2013,GTA_MT_0013,property,GTA_MT_0017,fattening,53
TX00000197,2013,GTA_MT_0014,slaughterhouse,SH_MT_02,slaughter,152
TX00000198,2013,GTA_MT_0014,property,GTA_MT_0022,breeding,49
TX00000199,2013,GTA_MT_0015,slaughterhouse,SH_MT_03,slaughter,178
TX00000200,2013,GTA_MT_0015,slaughterhouse,SH_MT_04,slaughter,42
TX00000201,2013,GTA_MT_0015,property,GTA_MT_0019,other,56
TX00000202,2013,GTA_MT_0016,slaughterhouse,SH_MT_04,slaughter,209
TX00000203,2013,GTA_MT_0016,property,GTA_MT_0020,fattening,118
TX00000204,2013,GTA_MT_0017,slaughterhouse,SH_MT_02,slaughter,231
TX00000205,2013,GTA_MT_0017,slaughterhouse,SH_MT_01,slaughter,57
TX00000206,2013,GTA_MT_0017,property,GTA_MT_0021,breeding,73
TX00000207,2013,GTA_MT_0018,property,GTA_MT_0022,other,84
TX00000208,2013,GTA_MT_0019,slaughterhouse,SH_MT_03,slaughter,199
TX00000209,2013,GTA_MT_0019,slaughterhouse,SH_MT_04,slaughter,22
TX00000210,2013,GTA_MT_0019,property,GTA_MT_0027,fattening,89
TX00000211,2013,GTA_MT_0020,slaughterhouse,SH_MT_04,slaughter,199
TX00000212,2013,GTA_MT_0020,property,GTA_MT_0024,breeding,108
TX00000213,2013,GTA_MT_0021,slaughterhouse,SH_MT_01,slaughter,212
TX00000214,2013,GTA_MT_0021,slaughterhouse,SH_MT_02,slaughter,58
TX00000215,2013,GTA_MT_0021,property,GTA_MT_0025,other,55
TX00000216,2013,GTA_MT_0022,slaughterhouse,SH_MT_01,slaughter,233
TX00000217,2013,GTA_MT_0022,property,GTA_MT_0026,fattening,94
TX00000218,2013,GTA_MT_0023,property,GTA_MT_0027,breeding,118
TX00000219,2013,GTA_MT_0023,property,GTA_MT_0027,other,11
TX00000220,2013,GTA_MT_0024,slaughterhouse,SH_MT_04,slaughter,198
TX00000221,2013,GTA_MT_0024,property,GTA_MT_0032,other,72
TX00000222,2013,GTA_MT_0025,slaughterhouse,SH_MT_01,slaughter,180
TX00000223,2013,GTA_MT_0025,slaughterhouse,SH_MT_02,slaughter,55
TX00000224,2013,GTA_MT_0025,property,GTA_MT_0029,fattening,38
TX00000225,2013,GTA_MT_0026,slaughterhouse,SH_MT_02,slaughter,148
TX00000226,2013,GTA_MT_0026,property,GTA_MT_0030,breeding,60
TX00000227,2013,GTA_MT_0027,slaughterhouse,SH_MT_04,slaughter,222
TX00000228,2013,GTA_MT_0027,slaughterhouse,SH_MT_03,slaughter,52
TX00000229,2013,GTA_MT_0027,property,GTA_MT_0031,other,46
TX00000230,2013,GTA_MT_0028,property,GTA_MT_0032,fattening,114
TX00000231,2013,GTA_MT_0029,slaughterhouse,SH_MT_01,slaughter,154
TX00000232,2013,GTA_MT_0029,slaughterhouse,SH_MT_02,slaughter,57
TX00000233,2013,GTA_MT_0029,property,GTA_MT_0037,breeding,96
TX00000234,2013,GTA_MT_0030,slaughterhouse,SH_MT_02,slaughter,177
TX00000235,2013,GTA_MT_0030,property,GTA_MT_0034,other,45
TX00000236,2013,GTA_MT_0031,slaughterhouse,SH_MT_03,slaughter,208
TX00000237,2013,GTA_MT_0031,slaughterhouse,SH_MT_04,slaughter,29
TX00000238,2013,GTA_MT_0031,property,GTA_MT_0035,fattening,114
TX00000239,2013,GTA_MT_0032,slaughterhouse,SH_MT_04,slaughter,194
TX00000240,2013,GTA_MT_0032,property,GTA_MT_0036,breeding,69
TX00000241,2013,GTA_MT_0033,property,GTA_MT_0037,other,39
TX00000242,2013,GTA_MT_0034,slaughterhouse,SH_MT_02,slaughter,114
TX00000243,2013,GTA_MT_0034,property,GTA_MT_0042,fattening,68
TX00000244,2013,GTA_MT_0034,property,GTA_MT_0042,other,8
TX00000245,2013,GTA_MT_0035,slaughterhouse,SH_MT_03,slaughter,174
TX00000246,2013,GTA_MT_0035,slaughterhouse,SH_MT_04,slaughter,25
TX00000247,2013,GTA_MT_0035,property,GTA_MT_0039,breeding,81
TX00000248,2013,GTA_MT_0036,slaughterhouse,SH_MT_04,slaughter,217
TX00000249,2013,GTA_MT_0036,property,GTA_MT_0040,other,28
TX00000250,2013,GTA_MT_0037,slaughterhouse,SH_MT_01,slaughter,185
TX00000251,2013,GTA_MT_0037,slaughterhouse,SH_MT_02,slaughter,38
TX00000252,2013,GTA_MT_0037,property,GTA_MT_0041,fattening,121
TX00000253,2013,GTA_MT_0038,property,GTA_MT_0042,breeding,70
TX00000254,2013,GTA_MT_0039,slaughterhouse,SH_MT_03,slaughter,181
TX00000255,2013,GTA_MT_0039,slaughterhouse,SH_MT_04,slaughter,57
TX00000256,2013,GTA_MT_0039,property,GTA_MT_0047,other,42
TX00000257,2013,GTA_MT_0040,slaughterhouse,SH_MT_04,slaughter,213
TX00000258,2013,GTA_MT_0040,property,GTA_MT_0044,fattening,68
TX00000259,2013,GTA_MT_0041,slaughterhouse,SH_MT_01,slaughter,169
TX00000260,2013,GTA_MT_0041,slaughterhouse,SH_MT_02,slaughter,55
TX00000261,2013,GTA_MT_0041,property,GTA_MT_0045,breeding,113
TX00000262,2013,GTA_MT_0042,slaughterhouse,SH_MT_02,slaughter,182
TX00000263,2013,GTA_MT_0042,property,GTA_MT_0046,other,30
TX00000264,2013,GTA_MT_0043,property,GTA_MT_0047,fattening,39
TX00000265,2013,GTA_MT_0044,slaughterhouse,SH_MT_03,slaughter,178
TX00000266,2013,GTA_MT_0044,property,GTA_MT_0052,breeding,115
TX00000267,2013,GTA_MT_0045,slaughterhouse,SH_MT_01,slaughter,164
TX00000268,2013,GTA_MT_0045,slaughterhouse,SH_MT_02,slaughter,34
TX00000269,2013,GTA_MT_0045,property,GTA_MT_0049,other,53
TX00000270,2013,GTA_MT_0045,property,GTA_MT_0049,other,8
TX00000271,2013,GTA_MT_0046,slaughterhouse,SH_MT_02,slaughter,200
TX00000272,2013,GTA_MT_0046,property,GTA_MT_0050,fattening,44
TX00000273,2013,GTA_MT_0047,slaughterhouse,SH_MT_03,slaughter,158
TX00000274,2013,GTA_MT_0047,slaughterhouse,SH_MT_04,slaughter,23
TX00000275,2013,GTA_MT_0047,property,GTA_MT_0051,breeding,60
TX00000276,2013,GTA_MT_0048,property,GTA_MT_0052,other,24
TX00000277,2013,GTA_MT_0049,slaughterhouse,SH_MT_02,slaughter,193
TX00000278,2013,GTA_MT_0049,slaughterhouse,SH_MT_01,slaughter,25
TX00000279,2013,GTA_MT_0049,property,GTA_MT_0057,fattening,68
TX00000280,2013,GTA_MT_0050,slaughterhouse,SH_MT_02,slaughter,232
TX00000281,2013,GTA_MT_0050,property,GTA_MT_0054,breeding,85
TX00000282,2013,GTA_MT_0051,slaughterhouse,SH_MT_03,slaughter,196
TX00000283,2013,GTA_MT_0051,slaughterhouse,SH_MT_04,slaughter,41
TX00000284,2013,GTA_MT_0051,property,GTA_MT_0055,other,102
TX00000285,2013,GTA_MT_0052,slaughterhouse,SH_MT_04,slaughter,202
TX00000286,2013,GTA_MT_0052,property,GTA_MT_0056,fattening,60
TX00000287,2013,GTA_MT_0053,property,GTA_MT_0057,breeding,88
TX00000288,2013,GTA_MT_0054,slaughterhouse,SH_MT_02,slaughter,221
TX00000289,2013,GTA_MT_0054,property,GTA_MT_0062,other,76
TX00000290,2013,GTA_MT_0055,slaughterhouse,SH_MT_03,slaughter,146
TX00000291,2013,GTA_MT_0055,slaughterhouse,SH_MT_04,slaughter,46
TX00000292,2013,GTA_MT_0055,property,GTA_MT_0059,fattening,105
TX00000293,2013,GTA_MT_0056,slaughterhouse,SH_MT_03,slaughter,203
TX00000294,2013,GTA_MT_0056,property,GTA_MT_0060,breeding,65
TX00000295,2013,GTA_MT_0056,property,GTA_MT_0060,other,2
TX00000296,2013,GTA_MT_0057,slaughterhouse,SH_MT_01,slaughter,164
TX00000297,2013,GTA_MT_0057,slaughterhouse,SH_MT_02,slaughter,22
TX00000298,2013,GTA_MT_0057,property,GTA_MT_0061,other,115
TX00000299,2013,GTA_MT_0058,property,GTA_MT_0062,fattening,72
TX00000300,2013,GTA_MT_0059,slaughterhouse,SH_MT_03,slaughter,177
TX00000301,2013,GTA_MT_0059,slaughterhouse,SH_MT_04,slaughter,32
TX00000302,2013,GTA_MT_0059,property,GTA_MT_0067,breeding,68
TX00000303,2013,GTA_MT_0060,slaughterhouse,SH_MT_04,slaughter,180
TX00000304,2013,GTA_MT_0060,property,GTA_MT_0064,other,78
TX00000305,2013,GTA_MT_0061,slaughterhouse,SH_MT_01,slaughter,211
TX00000306,2013,GTA_MT_0061,slaughterhouse,SH_MT_02,slaughter,43
TX00000307,2013,GTA_MT_0061,property,GTA_MT_0065,fattening,92
TX00000308,2013,GTA_MT_0062,slaughterhouse,SH_MT_02,slaughter,114
TX00000309,2013,GTA_MT_0062,property,GTA_MT_0066,breeding,35
TX00000310,2013,GTA_MT_0063,property,GTA_MT_0067,other,116
TX00000311,2013,GTA_MT_0064,slaughterhouse,SH_MT_04,slaughter,147
TX00000312,2013,GTA_MT_0064,property,GTA_MT_0072,fattening,88
TX00000313,2013,GTA_MT_0065,slaughterhouse,SH_MT_01,slaughter,157
TX00000314,2013,GTA_MT_0065,slaughterhouse,SH_MT_02,slaughter,49
TX00000315,2013,GTA_MT_0065,property,GTA_MT_0069,breeding,46
TX00000316,2013,GTA_MT_0066,slaughterhouse,SH_MT_01,slaughter,254
TX00000317,2013,GTA_MT_0066,property,GTA_MT_0070,other,58
TX00000318,2013,GTA_MT_0067,slaughterhouse,SH_MT_03,slaughter,211
TX00000319,2013,GTA_MT_0067,slaughterhouse,SH_MT_04,slaughter,30
TX00000320,2013,GTA_MT_0067,property,GTA_MT_0071,fattening,62
TX00000321,2013,GTA_MT_0067,property,GTA_MT_0071,other,6
TX00000322,2013,GTA_MT_0068,property,GTA_MT_0072,breeding,39
TX00000323,2013,GTA_MT_0069,slaughterhouse,SH_MT_01,slaughter,237
TX00000324,2013,GTA_MT_0069,slaughterhouse,SH_MT_02,slaughter,19
TX00000325,2013,GTA_MT_0069,property,GTA_MT_0001,other,57
TX00000326,2013,GTA_MT_0070,slaughterhouse,SH_MT_01,slaughter,229
TX00000327,2013,GTA_MT_0070,property,GTA_MT_0002,fattening,111
TX00000328,2013,GTA_MT_0071,slaughterhouse,SH_MT_03,slaughter,213
TX00000329,2013,GTA_MT_0071,slaughterhouse,SH_MT_04,slaughter,52
TX00000330,2013,GTA_MT_0071,property,GTA_MT_0007,breeding,100
TX00000331,2013,GTA_MT_0072,slaughterhouse,SH_MT_04,slaughter,209
TX00000332,2013,GTA_MT_0072,property,GTA_MT_0004,other,20
TX00000333,2013,GTA_PA_0001,slaughterhouse,SH_PA_01,slaughter,166
TX00000334,2013,GTA_PA_0001,slaughterhouse,SH_PA_02,slaughter,50
TX00000335,2013,GTA_PA_0001,property,GTA_PA_0005,fattening,49
TX00000336,2013,GTA_PA_0001,property,GTA_PA_0005,other,3
TX00000337,2013,GTA_PA_0002,slaughterhouse,SH_PA_02,slaughter,196
TX00000338,2013,GTA_PA_0002,property,GTA_PA_0006,breeding,46
TX00000339,2013,GTA_PA_0003,property,GTA_PA_0007,other,42
TX00000340,2013,GTA_PA_0004,slaughterhouse,SH_PA_04,slaughter,201
TX00000341,2013,GTA_PA_0004,property,GTA_PA_0012,fattening,76
TX00000342,2013,GTA_PA_0005,slaughterhouse,SH_PA_01,slaughter,202
TX00000343,2013,GTA_PA_0005,slaughterhouse,SH_PA_02,slaughter,29
TX00000344,2013,GTA_PA_0005,property,GTA_PA_0009,breeding,111
TX00000345,2013,GTA_PA_0006,slaughterhouse,SH_PA_02,slaughter,168
TX00000346,2013,GTA_PA_0006,property,GTA_PA_0010,other,47
TX00000347,2013,GTA_PA_0007,slaughterhouse,SH_PA_03,slaughter,243
TX00000348,2013,GTA_PA_0007,slaughterhouse,SH_PA_04,slaughter,16
TX00000349,2013,GTA_PA_0007,property,GTA_PA_0011,fattening,29
TX00000350,2013,GTA_PA_0008,property,GTA_PA_0012,breeding,73
TX00000351,2013,GTA_PA_0009,slaughterhouse,SH_PA_01,slaughter,237
TX00000352,2013,GTA_PA_0009,slaughterhouse,SH_PA_02,slaughter,46
TX00000353,2013,GTA_PA_0009,property,GTA_PA_0017,other,98
TX00000354,2013,GTA_PA_0010,slaughterhouse,SH_PA_02,slaughter,179
