gta_property_id,true_car_id,expected_match,deliberately_ambiguous
GTA_PA_0053,CAR_PA_0053,True,False
GTA_PA_0054,CAR_PA_0054,True,False
GTA_PA_0055,CAR_PA_0055,True,False
GTA_PA_0056,,False,True
GTA_PA_0057,CAR_PA_0057,True,False
GTA_PA_0058,CAR_PA_0058,True,False
GTA_PA_0059,CAR_PA_0059,True,False
GTA_PA_0060,CAR_PA_0060,True,False
GTA_PA_0061,,False,False
GTA_PA_0062,CAR_PA_0062,True,False
GTA_PA_0063,CAR_PA_0063,True,False
GTA_PA_0064,CAR_PA_0064,True,False
GTA_PA_0065,,False,False
GTA_PA_0066,CAR_PA_0066,True,False
GTA_PA_0067,CAR_PA_0067,True,False
GTA_PA_0068,CAR_PA_0068,True,False
GTA_PA_0069,CAR_PA_0069,True,False
GTA_PA_0070,CAR_PA_0070,True,False
GTA_PA_0071,CAR_PA_0071,True,False
GTA_PA_0072,,False,False
